Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,alsoHasRank,alsoKnownAs,capturedLocation,hasBodyPart,hasCharacteristic,hasName,hasRank,hasShape,hasStatus,http://bioportal.bioontology.org/ontologies/FISHO#addedBy,http://bioportal.bioontology.org/ontologies/FISHO#citation,http://bioportal.bioontology.org/ontologies/FISHO#commentSource,http://bioportal.bioontology.org/ontologies/FISHO#contributor,http://bioportal.bioontology.org/ontologies/FISHO#creator,http://bioportal.bioontology.org/ontologies/FISHO#definition,http://bioportal.bioontology.org/ontologies/FISHO#definitionSource,http://bioportal.bioontology.org/ontologies/FISHO#description,http://bioportal.bioontology.org/ontologies/FISHO#has_obo_namespace,http://bioportal.bioontology.org/ontologies/FISHO#id,http://bioportal.bioontology.org/ontologies/FISHO#is_ancient_species,http://bioportal.bioontology.org/ontologies/FISHO#modified,http://bioportal.bioontology.org/ontologies/FISHO#status,http://bioportal.bioontology.org/ontologies/FISHO#title,http://bioportal.bioontology.org/ontologies/FISHO#usedIn,http://data.bioontology.org/metadata/prefixIRI,http://mybiodiversityontologies.um.edu.my/FO.owl#contributor,http://mybiodiversityontologies.um.edu.my/FO.owl#creator,http://mybiodiversityontologies.um.edu.my/FO.owl#description,http://mybiodiversityontologies.um.edu.my/FO.owl#modified,http://mybiodiversityontologies.um.edu.my/FO.owl#title,http://purl.obolibrary.org/obo/created_by,http://purl.obolibrary.org/obo/def,http://purl.obolibrary.org/obo/definition,http://purl.obolibrary.org/obo/ncbitaxon#has_rank,http://purl.obolibrary.org/obo/vto#has_rank,http://purl.obolibrary.org/obo/vto#is_extinct,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,http://www.geneontology.org/formats/oboInOWL#hasExactSynonym,http://www.geneontology.org/formats/oboInOwl#hasOBONamespace,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,http://www.geneontology.org/formats/oboInOwl#hasSynonymType,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOWL#xref,http://www.w3.org/2004/02/skos/core#notation,isAssociatedWith,isCapturedBy,isCharacteristicFor,isCommonNamesIn,isComposedOf,isConsideredAs,isDevelopedFrom,isDifferentFrom,isGroupFor,isKnownAs,isNameFor,isNotGroupFor,isOrganFor,isPartOf,isRankFor,isSimilarTo,isStatusFor,isToolsToCapture
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000453,EW,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000346|http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000127,,,,,,,,,,,,,,,,,,,FISHO:0000453,,,,,,FISHO:FISHO_0000453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000452,CR,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000346|http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000127,,,,,,,,,,,,,,,,,,,FISHO:0000452,,,,,,FISHO:FISHO_0000452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000456,OtolithOrgan,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000232,,,,,,,,,,,,,,,,,,,FISHO:0000456,,,,,,FISHO:FISHO_0000456,,,,,,,,,,,,,ZFA:0000559|TAO:0000559,,otolith organs,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000494,QueenslandLungfish,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000174,,,,,,,,,,,,,,,,,,,FISHO:0000494,,,,,,FISHO:FISHO_0000494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000499,BlindShark,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000174,,,,,,,,,,,,,,,,,,,FISHO:0000499,,,,,,FISHO:FISHO_0000499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000495,Sturgeons,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000174,,,,,,,,,,,,,,,,,,,FISHO:0000495,yes,,,,,FISHO:FISHO_0000495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000491,Arapaima,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000174,,,,,,,,,,,,,,,,,,,FISHO:0000491,yes,,,,,FISHO:FISHO_0000491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000496,Paddlefish,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000174,,,,,,,,,,,,,,,,,,,FISHO:0000496,,,,,,FISHO:FISHO_0000496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000490,Arowana,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000174,,,,,,,,,,,,,,,,,,,FISHO:0000490,yes,,,,,FISHO:FISHO_0000490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000492,Bowfin,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000174,,,,,,,,,,,,,,,,,,,FISHO:0000492,,,,,,FISHO:FISHO_0000492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000498,Mudskipper,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000174,,,,,,,,,,,,,,,,,,,FISHO:0000498,,,,,,FISHO:FISHO_0000498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000493,Coelacanth,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000174,,,,,,,,,,,,,,,,,,,FISHO:0000493,yes,,,,,FISHO:FISHO_0000493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000497,Bichir,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000174,,,,,,,,,,,,,,,,,,,FISHO:0000497,,,,,,FISHO:FISHO_0000497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000462,SkeletalTissue,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000165,,,,,,,,,,,,,,,,,,,FISHO:0000462,,,,,,FISHO:FISHO_0000462,,,,,,,,,,,,,ZFA:0005619|VSAO:0000015,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000463,MonogeneanSpecimen,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000126,,,,,,,,,,,,,,,,,,,FISHO:0000463,,,,,,FISHO:FISHO_0000463,,,,,,,,,,,,,MonogeneanKB1:Specimen,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000460,FishCellularProcess,multi-organism cellular process,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GO:0009292|GO:0044764,,,,multi-organism cellular process,,FISHO:0000460,,FISHO:0000460,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000464,MarineAnimal,,,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,,,,,,,,,,FISHO:0000464,,,,,,FISHO:FISHO_0000464,,,,,,,,,,,,,BC39_Marine_Animal,,,,,,,http://www.ics.forth.gr/isl/ontology/MarineTLO/BC39_Marine_Animal,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000461,FishGeneticTransfer,genetic transfer,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,genetic transfer,,FISHO:0000461,,FISHO:0000461,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000285,Rib,,"Pleural ribs form in the peritoneal membrane and attach to the vertebrae, usually from the third vertebra to the last precaudal vertebra.",false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000184,,,,,,,,,,,,,,,,,,,FISHO:0000285,,,,,,FISHO:FISHO_0000285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000284,DefinedTerm,,The Base DefinedTerm represents a class for constructing controlled vocabularies of defined terminology.,false,,,http://www.w3.org/2002/07/owl#Thing,,,,,,,,,,Mohd Najib,,,,,,,,,FISHO:0000284,,,In Review,,,FISHO:FISHO_0000284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000283,Rectum,,"Also known as hindgut, as not as well defined externally in fishes as it is in tetrapods. Generally, the muscles layer near the rectum is thicker than in anterior regions, and the number of goblet cells in the large intestine increase in rectal region.",false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000084,,,,,,,,,,,,,,,,,,,FISHO:0000283,,,,,,FISHO:FISHO_0000283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000286,Reproduction,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000251,,,,,,,,,,,,,,,,,,,FISHO:0000286,,,,,,FISHO:FISHO_0000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000288,HyoidComplex,,A series of  pair of bones that lie medial to the lower jaw and opercular bones and lateral to the branchiostegal rays that attach to them.,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000032,,,,,,,,,,,,,,,,,,,FISHO:0000288,,,In review,,,FISHO:FISHO_0000288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000100,Mouth,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000378,,,,,,,,,,,,,,,,,,,FISHO:0000100,,,,,,FISHO:FISHO_0000100,,,,,,,,,,,,,TAO:0000547|ZFA:0000547,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000106,Pterosphenoid,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000166|http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000112,,,,,,,,,,,,,,,,,,,FISHO:0000106,,,,,,FISHO:FISHO_0000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000104,CleavageEgg,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000380,,,,,,,,,,,,,,,,,,,FISHO:0000104,,,,,,FISHO:FISHO_0000104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000107,Incisor,,,false,,,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000414,,,,,,,,,,,,,,,,,"Large teeth with flattened cutting surfaces adapted for feeding on mollusks and crustaceans. Example, chimaeras (Holocephali).",,FISHO:0000107,,,,,,FISHO:FISHO_0000107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
